ticket_id,company_id,channel_id,contact_id,reason
"161","3","0","1620","missing_channel_fk"
"162","3","0","1621","missing_channel_fk"
"163","3","0","1622","missing_channel_fk"
"164","3","0","1623","missing_channel_fk"
"165","3","0","1624","missing_channel_fk"
"166","3","0","1625","missing_channel_fk"
"167","3","0","1626","missing_channel_fk"
"168","3","0","1627","missing_channel_fk"
"169","3","0","1628","missing_channel_fk"
"170","3","0","1629","missing_channel_fk"
"171","3","0","1630","missing_channel_fk"
"172","3","0","1631","missing_channel_fk"
"173","3","0","1632","missing_channel_fk"
"174","3","0","1633","missing_channel_fk"
"175","3","0","1634","missing_channel_fk"
"176","3","0","1635","missing_channel_fk"
"177","3","0","1636","missing_channel_fk"
"178","3","0","1637","missing_channel_fk"
"179","3","0","1638","missing_channel_fk"
"180","3","0","1639","missing_channel_fk"
"181","3","0","1640","missing_channel_fk"
"182","3","0","1641","missing_channel_fk"
"183","3","0","1642","missing_channel_fk"
"184","3","0","1643","missing_channel_fk"
"185","3","0","1644","missing_channel_fk"
"186","3","0","1645","missing_channel_fk"
"187","3","0","1646","missing_channel_fk"
"188","3","0","1647","missing_channel_fk"
"189","3","0","1648","missing_channel_fk"
"190","3","0","1649","missing_channel_fk"
"191","3","0","1650","missing_channel_fk"
"192","3","0","1651","missing_channel_fk"
"193","3","0","1652","missing_channel_fk"
"194","3","0","1653","missing_channel_fk"
"195","3","0","1654","missing_channel_fk"
"196","3","0","1655","missing_channel_fk"
"197","3","0","1656","missing_channel_fk"
"198","3","0","1657","missing_channel_fk"
"199","3","0","1658","missing_channel_fk"
"200","3","0","1659","missing_channel_fk"
"201","3","0","1660","missing_channel_fk"
"202","3","0","1661","missing_channel_fk"
"203","3","0","1662","missing_channel_fk"
"204","3","0","1663","missing_channel_fk"
"205","3","0","1664","missing_channel_fk"
"206","3","0","1665","missing_channel_fk"
"207","3","0","1666","missing_channel_fk"
"208","3","0","1667","missing_channel_fk"
"209","3","0","1668","missing_channel_fk"
"210","3","0","1669","missing_channel_fk"
"211","3","0","1670","missing_channel_fk"
"212","3","0","1671","missing_channel_fk"
"213","3","0","1672","missing_channel_fk"
"214","3","0","1673","missing_channel_fk"
"215","3","0","1674","missing_channel_fk"
"216","3","0","1675","missing_channel_fk"
"217","3","0","1676","missing_channel_fk"
"218","3","0","1677","missing_channel_fk"
"219","3","0","1678","missing_channel_fk"
"220","3","0","1679","missing_channel_fk"
"221","3","0","1680","missing_channel_fk"
"222","3","0","1681","missing_channel_fk"
"223","3","0","1682","missing_channel_fk"
"224","3","0","1683","missing_channel_fk"
"225","3","0","1684","missing_channel_fk"
"226","3","0","1685","missing_channel_fk"
"227","3","0","1686","missing_channel_fk"
"228","3","0","1687","missing_channel_fk"
"229","3","0","1688","missing_channel_fk"
"230","3","0","1511","missing_channel_fk"
"231","3","0","1514","missing_channel_fk"
"232","3","0","1689","missing_channel_fk"
"233","3","0","1515","missing_channel_fk"
"234","3","0","1690","missing_channel_fk"
"235","3","0","1691","missing_channel_fk"
"236","3","0","1692","missing_channel_fk"
"237","3","0","1693","missing_channel_fk"
"238","3","0","1694","missing_channel_fk"
"239","3","0","1695","missing_channel_fk"
"240","3","0","1512","missing_channel_fk"
"241","3","0","1696","missing_channel_fk"
"242","3","0","1516","missing_channel_fk"
"243","3","0","1506","missing_channel_fk"
"244","3","0","1517","missing_channel_fk"
"245","3","0","1697","missing_channel_fk"
"246","3","0","1508","missing_channel_fk"
"247","3","0","1698","missing_channel_fk"
"248","3","0","1518","missing_channel_fk"
"249","3","0","1519","missing_channel_fk"
"250","3","0","1651","missing_channel_fk"
"251","3","0","1699","missing_channel_fk"
"252","3","0","1700","missing_channel_fk"
"253","3","0","1521","missing_channel_fk"
"254","3","0","1520","missing_channel_fk"
"255","3","0","1523","missing_channel_fk"
"256","3","0","1522","missing_channel_fk"
"257","3","0","1524","missing_channel_fk"
"258","3","0","1701","missing_channel_fk"
"259","3","0","1702","missing_channel_fk"
"260","3","0","1525","missing_channel_fk"
"261","3","0","1703","missing_channel_fk"
"262","3","0","1704","missing_channel_fk"
"263","3","0","1706","missing_channel_fk"
"264","3","0","1526","missing_channel_fk"
"265","2","0","1233","missing_channel_fk"
"266","3","0","1707","missing_channel_fk"
"267","3","0","1708","missing_channel_fk"
"268","3","0","1527","missing_channel_fk"
"269","3","0","1709","missing_channel_fk"
"270","3","0","1710","missing_channel_fk"
"271","3","0","1528","missing_channel_fk"
"272","3","0","1529","missing_channel_fk"
"273","3","0","1712","missing_channel_fk"
"274","3","0","1530","missing_channel_fk"
"275","3","0","1531","missing_channel_fk"
"276","2","0","18","missing_channel_fk"
"277","2","0","198","missing_channel_fk"
"278","2","0","1430","missing_channel_fk"
"279","2","0","1260","missing_channel_fk"
"280","3","0","1714","missing_channel_fk"
"281","2","0","1342","missing_channel_fk"
